Title,Content
What to buy in French pharmacies,"We are going to France and 14yo dd is most excited about.... nope, none of the sights. She wants to go shopping in French pharmacies. Any tips on what products are cheaper or more exciting in France? (for clarity, it's skincare and cosmetics, not medicines!)"
Holiday inspo for 18 month old,I’m looking to plan a holiday in Apr/May 2026 when my DS with be around 17/18 months old. We’ve looking around Europe - ideally a 2-3 hour flight and a hotel that caters for families with an area or club that will suitable for an 18 month old. Also we would like to do an all inclusive as we just don’t want the hassle of thinking about cooking no and finding places to eat out. Also a hotel room with a separate living and sleep space as we would like to stay up later when he goes to bed. I’ve visited my local TUI and they recommend their TUI Blue range and we like the look of the Menorca one. But just wondering whether anyone could recommend else where. Our budget is around £2k (a little over is fine) for 2 adults and 18-ish month old. thanks mums of mumsnet in advance 😅
Kissed children with potential cold sore,"Hi Really worried I have exposed my children (4 and 16 months) to cold sore virus. What I thought was a strange spot in the middle of my lip popped up at the start of the week but I am now worried it’s a cold sore despite never having one before at the age of 33. I’m not sure how they normally present. It was like a pimple under the surface but I picked at it and it has since scabbed. i definitely have kissed the kids with it, certainly at the beginning of the week before I started to think it might be a cold sore. Are they likely to have caught this virus, my 4 year old has a temperature from yesterday evening and I’m now worried she is coming down with it."
Sun cream,I accidentally put suncream on my 3 month old without realising I wasn’t meant too I just thought it was best is this going too harm her sorry anxious first time mum
DD friend is a furry/therian. Trying to encourage (strongly) my DD to be the same.,"What would you do in this situation? Child in class is 'recruiting' other children (mainly very quiet children) to be furries. She says she is a therian and presents as a wolf. School has banned her wearing wolf items to school but she still does on party days/world book day/non uniform etc Parents seem to do littke about it Quite older parents. Children are 10. My DD has so far not engaged but likes the child involved but is being pressured. It was her birthday recently and friend bought her a tail 🙄 I think this is completely weird. Child digs holes at lunch time, barks at people etc cute/acceptable up until age 5 or 6 but not girls that are on the cusp of puberty! AIBU? Yes- she's only a kid, will spon grow out of it. No - its weird, school and parents should do more to address it"
When do you pump?!,"Hi everyone, My baby is 4 weeks old and I’m exclusively bottle-feeding her expressed breast milk. Lately, I’ve been finding it really difficult to find time to pump. Does anyone else struggle with this? By the time I’ve fed her, burped her, changed her nappy, and settled her to sleep, I feel like I only have about an hour before it all starts again. People keep telling me to “sleep when the baby sleeps”, but between pumping, cleaning bottles, and trying to keep on top of housework, I don’t really get the chance to rest. It’s starting to feel quite overwhelming. I’d really appreciate any tips or advice on how to better manage this stage — how do you all balance pumping, sleep, and everything else?"
To hate school holidays,It’s just so draining. Dh works full time and needs reminding it’s actually the holidays. Wouldn’t think to take time off unless prompted. Certainly hasn’t got the gumption to come up with
To tell child not to be in any photos without her sister,"I have issues with my in-laws excluding my eldest daughter who is my husband’s stepdaughter from photographs. This upsets my eldest. BiL has two sets of children with the elder ones in their twenties, I saw FiL talking to one of them and the nephew then chatted to the elder siblings and cousins and they then took turns to take photos. When my eldest took the photos instructions were given to her and it is ALWAYS these photos that appear at in-laws so pictures of bio grandchildren without my daughter. On Easter Saturday can I instruct my five year old not to stand in any photos with her cousins without her sister? POLL Am I being unreasonable? 2 days remaining 273"
DS(8) not invited to party,Dh used to compete and be a sports coach so we
Sons behaviour,"Ds is 7 and last week I got called over at the end of the day to speak with his teacher about his behaviour which turned into an hour long conversation with her, the Emotional Literacy Support Assistance (ELSA) teacher and headmaster. His behaviour has reached a point where they now want me to make a doctors appointment for him. I asked what they think is going on and all I got was “we wouldn’t like to say”. I’ve waited over a week for a list of their concerns and this is what they have said: * He’s a very clever boy - enjoys maths, science and P.E. His reading is above average for his age. ( I could have fluent conversations with this boy at 18 months old) * He struggles sitting at a desk even for short periods of time and will lose focus easily which then turns into him behaving in a distracting way. * In recent months his behaviour in class has deteriorated - saying inappropriate comments to other children, finding it increasingly difficult to contain himself and makes noises or calls out randomly. * He is noticeably trying to control his peers who tend to give in to his demands. * He finds it difficult to regulate his emotions and can easily become angry or will cry if things aren’t going his way. Phoned the doctors today, system has changed and they’re fully booked until the 28th. Told to phone back tomorrow when appointments for the 29th are released. Haven’t really spoken to anybody about this - wondering if anyone has any inclination as to what these behaviours may indicate?"
10 month old waking every 20 mins at night - no joke,"Our usually amazing sleeper has now starting waking every 15-20mins at night. she sits up and screams until we come in, lie her back down where she drifts back off straight away then repeats… all night. she’s recently started nursery as I’m back to work and does not nap in the day more than 30mins. before this with me she would nap an hour and a half in the morning and the same in the afternoon. So it’s a very sudden and drastic change. I think she’s incredibly overtired and out of routine aswell as teething but I simply cannot cope any longer this way. I’m in tears most nights. I end up just putting her in bed with me but I don’t think that’s helping. she is waking up screaming instantly. she has calpol and teething gel, is fed, nappy checked. I just don’t know what else to do but I am broken"
14 month old scratching and biting,"Hey, was hoping for some advice. i have a beautiful little 14 month old boy. He is amazing. So lovely and a real big personality. He’s doing really well developmentally and started saying lots of words, including his new favourite ‘no’. as he’s started to express himself more, he’s been really starting to hit me a lot but more than that he is constantly scratching me. And it hurts so much. I don’t think I really realised how much until my sister just came over and said how bad all the scratches on my face were. He does it when he’s very excited and giving cuddles and stuff but also when he’s frustrated. I’m constantly using a stern voice and saying ‘no’ when he’s does it and modelling kind hands. He will then stroke my face gently and say ‘aww’ but the behaviour isn’t getting any better. I’ve got at least 10 bloody cuts on my face. I’ve cut his nails but they seem to dig in deep when he scratches. im not sure what else to do. And my face looks awful 😂🤦🏻‍♀️"
Boyfriend doesn’t lift a finger in the house and I’m exhausted,"Currently I stay at home and look after our 3 month old whilst my boyfriend works. Maintaining the house, laundry and cooking are my job and I’m ok with this, pulling my weight is important to me and I’ve always happily done these things in the relationship. However, since our baby was born it’s been SO much harder to keep up with it all and I feel completely burnt out mentally and physically. In the first 2 weeks of my daughter’s life, he cooked for me a few times and helped out with house stuff and I felt so lucky and relieved, but it all abruptly ended after that. I remember then doing the laundry and cleaning whilst the baby slept, trying to keep my legs together as my stitches were hurting and my back was in agony. It was all just immediately down to me again and that was really hard whilst navigating having a new baby and very limited sleep. I accept my role at the moment and am just about ok to balance all actual cleaning, laundry and cooking duties with caring for our newborn, but he doesn’t appreciate what I’m doing and the mess he makes everywhere he goes is ridiculous and sets me back"
Making children do extra curricular activities,"How do you feel about forcing/pushing school into doing extra curricular activities. Ds is 9, soon to be 10. He plays football in a team and does swimming lessons. All fine, that’s plenty. He enjoys the football, but does sometimes complain about going to matches on weekends. He’s not brilliant but certainly not terrible. The football teams are getting much more competitive and selective as he’s getting older. He has the opportunity to join a second team which is very relaxed/just for fun and not too time consuming, and would give him a bit more practise, but he doesn’t want to. His only reason is that he can’t be bothered. He moans like crazy about going to swimming lessons, he’s a very good swimmer, so could potentially stop, but it’s only 30 minutes a week and it’s not like he finds it difficult. We tried tennis but he hated it, we started taking him to parkrun, he’s a really good, fast runner, but he always said he couldn’t be bothered to go. I don’t want to over schedule him, but I do find it a little bit odd that he can’t be bothered to do anything lot of these things. He doesn’t like going out much at all. He doesn’t like school, no particular reason, he just wants to be at home. He only likes going out for a very short time and short distance and always wants to go home."
Teenage ds16 with social anxiety - anyone got any good advice?,"so far ds has said he's social anxious. He was always a happy friendly out going kid so it's taken me by surprise. Says it's been the last few years. My confusion: He doesn't seem to have an interest in helping himself to fix it. I bought a book, hasn't read it. Loads of support at college, doesn't access it. Could get counselling via zoom, no interest. He completely stonewalls any attempts at conversation on the whole. He comes down for dinner and on holiday but otherwise is mainly in his room. Seems quite cheery though and attends college 99%. For a job I basically get shit done. I want to support him but at the same time, I know I can't fix it for him. SO I am kinda stuck. What do I do, if anything? I don't want to leave it and it gets worse! But at the same time....... I know I can't fix it. Anyone a few years down the road and can look back to help ?"
"9 yr old DS, doesn’t let me talk to DH",He constant interrupts and tries to get the attention of one of us. DH and I work full time so we don’t get much time together. DS won’t let me speak to DH for 5 mins! DH doesn’t stop this behaviour - I think he quite enjoys the attn when 2 people are fighting for him. It’s also quite sad that DH doesn’t prioritise talking to me. what should I do? Just stop talking to DH until he stands up for me? POLL Am I being unreasonable? 2 days remaining
